Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),71.53,0.00,21970.94,,,,,,71.62,,83.72,91.30,127.90,99.81
Active Decode Throughput Per User (tokens/sec/user),71.53,0.00,21970.94,,,,,,71.62,,83.72,91.30,127.90,99.81
Active Prefill Throughput (tokens/sec),3826.31,3826.31,3826.31,,,,,,3826.31,,3826.31,3826.31,3826.31,0.00
Active Prefill Throughput Per User (tokens/sec/user),3826.31,3826.31,3826.31,,,,,,3826.31,,3826.31,3826.31,3826.31,0.00
Active Total Throughput (tokens/sec),140.70,71.53,3826.31,,,,,,71.53,,71.53,71.53,3826.31,504.91
Credit-to-Start Latency (ms),1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,0.00
Decode Duration (ms),14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,14301.42,0.00
E2E Output Token Throughput (tokens/sec/user),70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),70.19,0.00,21970.94,,,,,,71.55,,83.59,90.94,125.71,99.34
Effective Decode Throughput Per User (tokens/sec/user),70.19,0.00,21970.94,,,,,,71.55,,83.59,90.94,125.71,99.34
Effective Latency (CO-aware) (ms),14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,14571.20,0.00
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),70.46,0.00,3826.31,,,,,,0.00,,0.00,0.00,3826.31,514.43
Effective Prefill Throughput Per User (tokens/sec/user),70.46,0.00,3826.31,,,,,,0.00,,0.00,0.00,3826.31,514.43
Effective Total Throughput (tokens/sec),140.64,0.00,3826.31,,,,,,71.53,,71.53,71.53,3826.31,504.82
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,1005.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,0.00
HTTP Connection Overhead (ms),1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,286.46,0.00
HTTP Data Sent (KB),4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,14569.56,0.00
HTTP Receiving (ms),14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,14301.49,0.00
HTTP Sending (ms),2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,0.00
HTTP Total Time (ms),14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,14571.36,0.00
HTTP Waiting (TTFB) (ms),265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,265.75,0.00
Input Sequence Length (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Inter Chunk Latency (ms),13.98,0.00,88.18,14301.42,0.00,6.19,10.79,12.79,13.93,14.92,16.88,19.48,31.99,5.51
Inter Token Latency (ms),13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,0.00
Prefill Throughput Per User (tokens/sec/user),3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,3826.32,0.00
