Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),265.66,2.81,438.03,,,,,,284.68,,328.57,361.36,406.43,88.14
Active Decode Throughput Per User (tokens/sec/user),33.42,2.81,54.75,,,,,,35.59,,41.07,45.17,50.80,10.39
Active Prefill Throughput (tokens/sec),9194.59,1149.76,12362.22,,,,,,8052.44,,12362.22,12362.22,12362.22,1917.43
Active Prefill Throughput Per User (tokens/sec/user),1255.78,1149.76,2203.26,,,,,,1150.35,,1545.28,1545.28,1545.28,174.96
Active Total Throughput (tokens/sec),1302.20,36.33,12362.22,,,,,,287.49,,8085.65,8085.65,12362.22,2905.95
Credit-to-Start Latency (ms),1.23,1.12,1.42,9.82,1.12,1.13,1.14,1.16,1.20,1.27,1.35,1.38,1.42,0.09
Decode Duration (ms),3537.11,3495.98,3824.30,28296.88,3495.98,3495.99,3496.00,3496.06,3496.10,3496.15,3594.61,3709.45,3801.33,108.55
E2E Output Token Throughput (tokens/sec/user),32.46,32.45,32.46,259.65,32.45,32.45,32.46,32.46,32.46,32.46,32.46,32.46,32.46,0.00
Effective Concurrency,7.99,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.25
Effective Decode Concurrency,7.17,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.32
Effective Decode Throughput (tokens/sec),257.35,0.00,438.03,,,,,,283.80,,325.92,361.36,406.43,98.31
Effective Decode Throughput Per User (tokens/sec/user),32.37,0.00,54.75,,,,,,35.47,,40.74,45.17,50.80,11.77
Effective Latency (CO-aware) (ms),3945.00,3944.74,3945.41,31560.03,3944.75,3944.76,3944.79,3944.83,3944.96,3945.12,3945.29,3945.35,3945.39,0.21
Effective Prefill Concurrency,0.82,0.00,8.00,,,,,,0.00,,7.00,7.00,8.00,2.31
Effective Prefill Throughput (tokens/sec),1043.60,0.00,12362.22,,,,,,0.00,,8052.44,8052.44,12362.22,2987.25
Effective Prefill Throughput Per User (tokens/sec/user),142.53,0.00,2203.26,,,,,,0.00,,1150.35,1150.35,1545.28,402.68
Effective Total Throughput (tokens/sec),1300.96,0.00,12362.22,,,,,,287.49,,8085.65,8085.65,12362.22,2904.84
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.63,5.48,5.81,45.02,5.48,5.50,5.53,5.56,5.60,5.68,5.79,5.80,5.81,0.11
HTTP Connection Overhead (ms),5.63,5.48,5.81,45.02,5.48,5.50,5.53,5.56,5.60,5.68,5.79,5.80,5.81,0.11
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.01,31.92,32.08,256.06,31.92,31.93,31.94,31.98,32.01,32.04,32.07,32.08,32.08,0.05
HTTP Data Sent (KB),2.33,1.99,2.49,18.67,2.01,2.07,2.14,2.22,2.43,2.45,2.46,2.47,2.48,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3943.53,3943.30,3943.82,31548.22,3943.31,3943.35,3943.40,3943.47,3943.54,3943.56,3943.64,3943.73,3943.80,0.14
HTTP Receiving (ms),3537.14,3496.01,3824.32,28297.10,3496.01,3496.02,3496.03,3496.09,3496.13,3496.17,3594.64,3709.48,3801.36,108.55
HTTP Sending (ms),6.13,5.96,6.37,49.01,5.97,5.98,6.00,6.04,6.09,6.17,6.31,6.34,6.36,0.13
HTTP Total Time (ms),3949.16,3948.77,3949.63,31593.24,3948.79,3948.85,3948.93,3949.03,3949.14,3949.23,3949.43,3949.53,3949.61,0.24
HTTP Waiting (TTFB) (ms),400.26,113.10,441.42,3202.11,136.06,227.92,342.74,441.16,441.27,441.34,441.42,441.42,441.42,108.54
Input Sequence Length (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),27.85,16.71,355.73,28296.88,18.39,20.90,23.21,26.03,27.65,29.05,30.95,32.46,37.49,10.88
Inter Token Latency (ms),27.85,27.53,30.11,222.81,27.53,27.53,27.53,27.53,27.53,27.53,28.30,29.21,29.93,0.85
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),35.94,33.21,36.33,287.49,33.43,34.30,35.39,36.33,36.33,36.33,36.33,36.33,36.33,1.03
Prefill Throughput Per User (tokens/sec/user),1545.28,1149.76,4309.78,12362.22,1149.78,1149.86,1149.96,1150.05,1150.42,1150.77,2098.70,3204.24,4088.67,1044.88
Request Latency (ms),3943.78,3943.54,3944.09,31550.21,3943.55,3943.59,3943.63,3943.69,3943.79,3943.82,3943.90,3944.00,3944.07,0.15
Time to First Output Token (ms),406.67,119.50,447.92,3253.33,142.45,234.26,349.03,447.53,447.66,447.81,447.84,447.88,447.91,108.54
Time to First Token (ms),406.67,119.50,447.92,3253.33,142.45,234.26,349.03,447.53,447.66,447.81,447.84,447.88,447.91,108.54
Time to Second Token (ms),68.56,27.47,355.73,548.45,27.47,27.47,27.47,27.51,27.54,27.59,126.04,240.89,332.76,108.54
Tokens In Flight (tokens),4577.46,0.00,5137.00,,,,,,4584.00,,5032.00,5080.00,5128.00,351.58
Usage Completion Tokens (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,4120.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,5144.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),3.94
Input Token Throughput (tokens/sec),1043.60
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),259.38
Request Count,8.00
Request Throughput (requests/sec),2.03
Total Input Sequence Length (tokens),4120.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),1302.98
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),4120.00
Total Usage Total Tokens (tokens),5144.00
