Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.55,0.00,14289.84,,,,,,50.34,,60.31,68.43,116.95,22.88
Active Decode Throughput Per User (tokens/sec/user),49.55,0.00,14289.84,,,,,,50.34,,60.31,68.43,116.95,22.88
Active Prefill Throughput (tokens/sec),5258.32,5258.32,5258.32,,,,,,5258.32,,5258.32,5258.32,5258.32,0.00
Active Prefill Throughput Per User (tokens/sec/user),5258.32,5258.32,5258.32,,,,,,5258.32,,5258.32,5258.32,5258.32,0.00
Active Total Throughput (tokens/sec),55.69,49.55,5258.32,,,,,,49.55,,49.55,49.55,49.55,178.82
Credit-to-Start Latency (ms),1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.00
Decode Duration (ms),165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,165324.34,0.00
E2E Output Token Throughput (tokens/sec/user),49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,49.49,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Throughput (tokens/sec),49.48,0.00,14289.84,,,,,,50.33,,60.31,68.43,116.93,22.94
Effective Decode Throughput Per User (tokens/sec/user),49.48,0.00,14289.84,,,,,,50.33,,60.31,68.43,116.93,22.94
Effective Latency (CO-aware) (ms),165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,165520.82,0.00
Effective Prefill Concurrency,0.00,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.03
Effective Prefill Throughput (tokens/sec),6.20,0.00,5258.32,,,,,,0.00,,0.00,0.00,0.00,180.51
Effective Prefill Throughput Per User (tokens/sec/user),6.20,0.00,5258.32,,,,,,0.00,,0.00,0.00,0.00,180.51
Effective Total Throughput (tokens/sec),55.68,0.00,5258.32,,,,,,49.55,,49.55,49.55,49.55,178.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,7884.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,0.00
HTTP Connection Overhead (ms),3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,0.00
