Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),154.84,3.62,54416.94,,,,,,157.74,,181.80,193.05,226.42,130.66
Active Decode Throughput Per User (tokens/sec/user),19.49,1.83,6802.12,,,,,,19.73,,22.77,24.32,28.70,16.27
Active Prefill Throughput (tokens/sec),6382.65,797.84,11058.46,,,,,,6498.19,,11058.46,11058.46,11058.46,3701.89
Active Prefill Throughput Per User (tokens/sec/user),1092.55,797.84,2622.22,,,,,,1083.03,,1382.31,1382.31,1382.31,222.78
Active Total Throughput (tokens/sec),460.25,20.04,11058.46,,,,,,158.09,,158.09,158.09,11058.46,1565.89
Credit-to-Start Latency (ms),1.16,1.02,1.33,9.28,1.02,1.03,1.04,1.09,1.17,1.21,1.27,1.30,1.32,0.10
Decode Duration (ms),51773.02,51054.69,52553.34,414184.15,51062.15,51091.96,51129.23,51356.05,51776.62,52166.14,52396.15,52474.74,52537.62,509.42
E2E Output Token Throughput (tokens/sec/user),19.14,19.09,19.20,153.09,19.09,19.09,19.09,19.10,19.13,19.16,19.18,19.19,19.20,0.04
Effective Concurrency,7.98,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.30
Effective Decode Concurrency,7.72,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.29
Effective Decode Throughput (tokens/sec),152.55,0.00,54416.94,,,,,,157.49,,181.62,193.02,226.42,131.03
Effective Decode Throughput Per User (tokens/sec/user),19.20,0.00,6802.12,,,,,,19.69,,22.72,24.29,28.63,16.32
Effective Latency (CO-aware) (ms),53512.91,53341.41,53641.67,428103.29,53345.12,53359.96,53378.51,53438.15,53528.90,53600.45,53627.91,53634.79,53640.29,102.09
Effective Prefill Concurrency,0.26,0.00,8.00,,,,,,0.00,,0.00,0.00,8.00,1.26
Effective Prefill Throughput (tokens/sec),307.64,0.00,11058.46,,,,,,0.00,,0.00,0.00,11058.46,1590.42
Effective Prefill Throughput Per User (tokens/sec/user),52.66,0.00,2622.22,,,,,,0.00,,0.00,0.00,1382.31,239.07
Effective Total Throughput (tokens/sec),460.19,0.00,11058.46,,,,,,158.09,,158.09,158.09,11058.46,1565.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1022.38,1022.00,1023.00,8179.00,1022.00,1022.00,1022.00,1022.00,1022.00,1023.00,1023.00,1023.00,1023.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),89.42,86.12,96.43,715.37,86.13,86.17,86.23,86.97,88.50,90.18,94.14,95.28,96.20,3.37
HTTP Connection Overhead (ms),91.30,87.98,98.18,730.44,88.02,88.15,88.32,89.01,90.25,91.94,96.16,97.17,97.98,3.34
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),244.65,244.46,244.84,1957.16,244.46,244.46,244.46,244.48,244.69,244.76,244.79,244.82,244.84,0.15
HTTP Data Sent (KB),8.86,8.07,9.35,70.85,8.10,8.23,8.38,8.66,8.93,9.17,9.23,9.29,9.34,0.39
HTTP DNS Lookup (ms),1.88,1.64,2.19,15.07,1.64,1.67,1.70,1.75,1.82,2.02,2.15,2.17,2.19,0.19
HTTP Duration (excl. conn) (ms),53511.57,53339.87,53640.25,428092.59,53343.59,53358.49,53377.11,53436.90,53527.64,53599.15,53626.52,53633.39,53638.88,102.12
HTTP Receiving (ms),51773.07,51054.72,52553.40,414184.59,51062.18,51091.99,51129.26,51356.10,51776.67,52166.21,52396.22,52474.81,52537.68,509.43
HTTP Sending (ms),89.84,86.63,96.84,718.73,86.63,86.65,86.66,87.39,88.89,90.59,94.55,95.70,96.61,3.36
HTTP Total Time (ms),53602.88,53429.06,53730.79,428823.03,53432.70,53447.26,53465.46,53527.01,53616.85,53696.61,53720.38,53725.59,53729.75,104.16
HTTP Waiting (TTFB) (ms),1648.66,698.84,2496.35,13189.27,718.35,796.40,893.96,1181.83,1663.32,2147.03,2405.00,2450.68,2487.22,608.82
Input Sequence Length (tokens),2063.00,2063.00,2063.00,16504.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,0.00
Inter Chunk Latency (ms),50.98,0.00,288.37,414184.15,21.07,39.52,42.43,46.42,50.09,53.31,57.53,60.86,98.69,16.02
Inter Token Latency (ms),50.61,49.91,51.37,404.87,49.91,49.94,49.98,50.20,50.61,50.99,51.22,51.29,51.36,0.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,8192.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,8192.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),19.76,19.47,20.04,158.09,19.47,19.50,19.52,19.61,19.76,19.92,20.01,20.02,20.03,0.19
Prefill Throughput Per User (tokens/sec/user),1382.31,797.84,2622.22,11058.46,800.70,812.15,826.47,922.33,1185.79,1639.39,2143.31,2382.76,2574.33,590.59
Request Latency (ms),53511.75,53340.08,53640.43,428094.00,53343.80,53358.69,53377.30,53437.08,53527.79,53599.32,53626.70,53633.57,53639.06,102.11
Time to First Output Token (ms),1738.73,786.74,2585.74,13909.85,806.18,883.94,981.15,1270.93,1751.18,2243.27,2497.47,2541.60,2576.91,610.79
Time to First Token (ms),1738.73,786.74,2585.74,13909.85,806.18,883.94,981.15,1270.93,1751.18,2243.27,2497.47,2541.60,2576.91,610.79
Time to Second Token (ms),226.60,14.29,288.37,1812.82,22.11,53.39,92.48,234.06,276.44,279.56,284.39,286.38,287.97,94.68
Tokens In Flight (tokens),20414.72,0.00,24665.77,,,,,,20453.46,,23837.81,24249.75,24579.14,2540.63
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,8192.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2063.00,2063.00,2063.00,16504.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,0.00
Usage Total Tokens (tokens),3087.00,3087.00,3087.00,24696.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,0.00

Metric,Value
Benchmark Duration (sec),53.64
Input Token Throughput (tokens/sec),307.64
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),152.70
Request Count,8.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),16504.00
Total Output Sequence Length (tokens),8192.00
Total Output Tokens (tokens),8192.00
Total Token Throughput (tokens/sec),460.34
Total Usage Completion Tokens (tokens),8192.00
Total Usage Prompt Tokens (tokens),16504.00
Total Usage Total Tokens (tokens),24696.00
