Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.76,0.00,10380.66,,,,,,55.78,,62.67,66.40,90.93,31.29
Active Decode Throughput Per User (tokens/sec/user),55.76,0.00,10380.66,,,,,,55.78,,62.67,66.40,90.93,31.29
Active Prefill Throughput (tokens/sec),2939.21,2939.21,2939.21,,,,,,2939.21,,2939.21,2939.21,2939.21,0.00
Active Prefill Throughput Per User (tokens/sec/user),2939.21,2939.21,2939.21,,,,,,2939.21,,2939.21,2939.21,2939.21,0.00
Active Total Throughput (tokens/sec),109.65,55.76,2939.21,,,,,,55.76,,55.76,55.76,2939.21,390.49
Credit-to-Start Latency (ms),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,0.00
Decode Duration (ms),18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,18346.54,0.00
E2E Output Token Throughput (tokens/sec/user),54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,54.77,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),54.70,0.00,10380.66,,,,,,55.69,,62.59,66.20,90.93,31.92
Effective Decode Throughput Per User (tokens/sec/user),54.70,0.00,10380.66,,,,,,55.69,,62.59,66.20,90.93,31.92
Effective Latency (CO-aware) (ms),18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,18697.48,0.00
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),54.91,0.00,2939.21,,,,,,0.00,,0.00,0.00,2939.21,397.98
Effective Prefill Throughput Per User (tokens/sec/user),54.91,0.00,2939.21,,,,,,0.00,,0.00,0.00,2939.21,397.98
Effective Total Throughput (tokens/sec),109.61,0.00,2939.21,,,,,,55.76,,55.76,55.76,2939.21,390.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,1017.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,0.00
HTTP Connection Overhead (ms),1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,250.79,0.00
HTTP Data Sent (KB),4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,18695.77,0.00
HTTP Receiving (ms),18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,18346.56,0.00
HTTP Sending (ms),1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,0.00
HTTP Total Time (ms),18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,18697.03,0.00
