Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),170.23,2.27,484.30,,,,,,176.75,,212.82,233.43,317.33,58.16
Active Decode Throughput Per User (tokens/sec/user),21.45,2.27,60.54,,,,,,22.14,,26.60,29.18,39.67,6.85
Active Prefill Throughput (tokens/sec),218.75,27.34,219.39,,,,,,219.39,,219.39,219.39,219.39,4.25
Active Prefill Throughput Per User (tokens/sec/user),27.42,27.34,27.50,,,,,,27.42,,27.42,27.42,27.42,0.01
Active Total Throughput (tokens/sec),210.96,22.97,219.39,,,,,,219.39,,219.39,219.39,219.39,15.54
Credit-to-Start Latency (ms),1.33,1.12,1.56,10.65,1.12,1.12,1.13,1.18,1.38,1.42,1.49,1.52,1.56,0.15
Decode Duration (ms),5576.91,5527.12,5922.69,44615.30,5527.13,5527.13,5527.15,5527.16,5527.56,5528.01,5646.43,5784.56,5895.06,130.69
E2E Output Token Throughput (tokens/sec/user),5.16,5.16,5.17,41.30,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.17,5.17,0.00
Effective Concurrency,8.00,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.14
Effective Decode Concurrency,1.80,0.00,8.00,,,,,,0.00,,8.00,8.00,8.00,3.32
Effective Decode Throughput (tokens/sec),40.96,0.00,484.30,,,,,,0.00,,181.97,201.97,233.97,78.16
Effective Decode Throughput Per User (tokens/sec/user),5.16,0.00,60.54,,,,,,0.00,,22.75,25.25,29.25,9.76
Effective Latency (CO-aware) (ms),24796.01,24756.50,24802.10,198368.06,24759.63,24772.15,24787.79,24801.23,24801.49,24802.01,24802.06,24802.08,24802.09,14.93
Effective Prefill Concurrency,6.20,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,3.32
Effective Prefill Throughput (tokens/sec),169.95,0.00,219.39,,,,,,219.39,,219.39,219.39,219.39,91.15
Effective Prefill Throughput Per User (tokens/sec/user),21.30,0.00,27.50,,,,,,27.42,,27.42,27.42,27.42,11.42
Effective Total Throughput (tokens/sec),210.91,0.00,219.39,,,,,,219.39,,219.39,219.39,219.39,15.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),83.06,78.39,91.02,664.47,78.40,78.44,78.49,79.70,82.36,85.82,87.44,89.23,90.66,4.05
HTTP Connection Overhead (ms),84.64,79.96,92.53,677.11,79.97,80.01,80.06,81.30,84.01,87.34,89.02,90.78,92.18,4.02
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),31.13,31.11,31.16,249.06,31.11,31.11,31.12,31.12,31.13,31.14,31.15,31.16,31.16,0.02
HTTP Data Sent (KB),2.39,2.04,2.54,19.09,2.06,2.12,2.20,2.28,2.48,2.50,2.52,2.53,2.53,0.16
HTTP DNS Lookup (ms),1.58,1.49,1.70,12.64,1.49,1.50,1.50,1.55,1.58,1.61,1.64,1.67,1.70,0.06
HTTP Duration (excl. conn) (ms),24794.51,24754.97,24800.78,198356.09,24758.10,24770.60,24786.22,24799.62,24799.97,24800.51,24800.73,24800.76,24800.78,14.95
HTTP Receiving (ms),5576.96,5527.19,5922.72,44615.65,5527.19,5527.19,5527.19,5527.20,5527.61,5528.06,5646.47,5784.60,5895.09,130.69
