Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.09,0.00,8555.47,,,,,,48.87,,54.18,57.45,77.51,23.21
Active Decode Throughput Per User (tokens/sec/user),49.09,0.00,8555.47,,,,,,48.87,,54.18,57.45,77.51,23.21
Active Prefill Throughput (tokens/sec),3428.75,3428.75,3428.75,,,,,,3428.75,,3428.75,3428.75,3428.75,0.00
Active Prefill Throughput Per User (tokens/sec/user),3428.75,3428.75,3428.75,,,,,,3428.75,,3428.75,3428.75,3428.75,0.00
Active Total Throughput (tokens/sec),96.98,49.09,3428.75,,,,,,49.09,,49.09,49.09,3428.75,399.44
Credit-to-Start Latency (ms),1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.00
Decode Duration (ms),20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,20838.91,0.00
E2E Output Token Throughput (tokens/sec/user),48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Decode Throughput (tokens/sec),48.38,0.00,8555.47,,,,,,48.84,,54.15,57.41,77.26,23.78
Effective Decode Throughput Per User (tokens/sec/user),48.38,0.00,8555.47,,,,,,48.84,,54.15,57.41,77.26,23.78
Effective Latency (CO-aware) (ms),21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,21139.47,0.00
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.12
Effective Prefill Throughput (tokens/sec),48.57,0.00,3428.75,,,,,,0.00,,0.00,0.00,3428.75,405.19
Effective Prefill Throughput Per User (tokens/sec/user),48.57,0.00,3428.75,,,,,,0.00,,0.00,0.00,3428.75,405.19
Effective Total Throughput (tokens/sec),96.95,0.00,3428.75,,,,,,49.09,,49.09,49.09,3428.75,399.39
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,0.00
HTTP Connection Overhead (ms),1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,276.72,0.00
HTTP Data Sent (KB),4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,21138.24,0.00
HTTP Receiving (ms),20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,20838.94,0.00
HTTP Sending (ms),1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,0.00
HTTP Total Time (ms),21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,21139.39,0.00
HTTP Waiting (TTFB) (ms),297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,297.83,0.00
Input Sequence Length (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Inter Chunk Latency (ms),20.37,0.00,80.52,20838.91,6.80,15.82,18.00,19.41,20.36,21.35,22.88,24.23,32.38,3.99
Inter Token Latency (ms),20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,20.37,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,0.00
Prefill Throughput Per User (tokens/sec/user),3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,3428.75,0.00
Request Latency (ms),21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,21138.44,0.00
Time to First Output Token (ms),299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,0.00
Time to First Token (ms),299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,299.53,0.00
Time to Second Token (ms),20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,0.00
Tokens In Flight (tokens),1531.54,0.00,2051.00,,,,,,1532.00,,1947.00,1999.00,2040.00,300.38
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Usage Total Tokens (tokens),2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00

Metric,Value
Benchmark Duration (sec),21.14
Input Token Throughput (tokens/sec),48.57
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),48.43
Request Count,1.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),1027.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),97.00
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),1027.00
Total Usage Total Tokens (tokens),2051.00
