Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),57.78,0.00,18775.29,,,,,,57.71,,63.11,65.75,82.93,51.73
Active Decode Throughput Per User (tokens/sec/user),57.78,0.00,18775.29,,,,,,57.71,,63.11,65.75,82.93,51.73
Active Prefill Throughput (tokens/sec),3853.20,3853.20,3853.20,,,,,,3853.20,,3853.20,3853.20,3853.20,0.00
Active Prefill Throughput Per User (tokens/sec/user),3853.20,3853.20,3853.20,,,,,,3853.20,,3853.20,3853.20,3853.20,0.00
Active Total Throughput (tokens/sec),114.06,57.78,3853.20,,,,,,57.78,,57.78,57.78,3853.20,458.75
Credit-to-Start Latency (ms),1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,0.00
Decode Duration (ms),17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,17706.49,0.00
E2E Output Token Throughput (tokens/sec/user),56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,56.97,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Decode Throughput (tokens/sec),56.90,0.00,18775.29,,,,,,57.67,,63.11,65.72,82.93,51.82
Effective Decode Throughput Per User (tokens/sec/user),56.90,0.00,18775.29,,,,,,57.67,,63.11,65.72,82.93,51.82
Effective Latency (CO-aware) (ms),17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,17974.42,0.00
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.12
Effective Prefill Throughput (tokens/sec),57.13,0.00,3853.20,,,,,,0.00,,0.00,0.00,3853.20,465.68
Effective Prefill Throughput Per User (tokens/sec/user),57.13,0.00,3853.20,,,,,,0.00,,0.00,0.00,3853.20,465.68
Effective Total Throughput (tokens/sec),114.03,0.00,3853.20,,,,,,57.78,,57.78,57.78,3853.20,458.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.00
HTTP Connection Overhead (ms),1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,166.97,0.00
HTTP Data Sent (KB),4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,17972.79,0.00
HTTP Receiving (ms),17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,17706.55,0.00
HTTP Sending (ms),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,0.00
HTTP Total Time (ms),17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,17974.00,0.00
HTTP Waiting (TTFB) (ms),264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,264.71,0.00
Input Sequence Length (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
Inter Chunk Latency (ms),30.06,0.00,83.70,17706.49,5.08,24.24,26.92,28.81,29.95,31.44,33.25,36.07,52.33,6.44
