Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),474.57,0.90,60979.86,,,,,,496.55,,554.86,572.61,621.39,154.92
Active Decode Throughput Per User (tokens/sec/user),14.89,0.88,1905.62,,,,,,15.52,,17.35,17.90,19.62,4.89
Active Prefill Throughput (tokens/sec),7313.41,232.32,12550.74,,,,,,6868.28,,10953.38,12550.74,12550.74,3210.82
Active Prefill Throughput Per User (tokens/sec/user),364.64,232.32,1518.93,,,,,,353.33,,447.57,577.84,760.51,137.93
Active Total Throughput (tokens/sec),945.19,15.76,12550.74,,,,,,494.78,,494.78,4225.86,10968.32,1893.32
Credit-to-Start Latency (ms),4.69,0.61,14.94,300.21,0.66,0.76,0.97,1.85,3.84,6.15,9.73,11.35,14.05,3.43
Decode Duration (ms),66398.82,64902.60,68537.24,4249524.67,64941.73,64966.02,64969.65,65599.59,66387.05,66834.13,67643.84,67645.17,68511.04,913.26
E2E Output Token Throughput (tokens/sec/user),14.79,14.46,15.11,946.44,14.46,14.47,14.47,14.74,14.80,14.84,15.10,15.10,15.11,0.17
Effective Concurrency,31.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.65
Effective Decode Concurrency,30.66,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,5.43
Effective Decode Throughput (tokens/sec),472.34,0.00,60979.86,,,,,,496.28,,554.73,572.42,621.39,157.93
Effective Decode Throughput Per User (tokens/sec/user),14.82,0.00,1905.62,,,,,,15.51,,17.34,17.89,19.62,4.98
Effective Latency (CO-aware) (ms),69258.99,67797.40,70799.67,4432575.58,67797.78,67798.99,67801.99,69024.07,69215.10,69490.70,70790.35,70791.62,70798.73,801.13
Effective Prefill Concurrency,1.32,0.00,32.00,,,,,,0.00,,0.00,16.00,31.00,5.39
Effective Prefill Throughput (tokens/sec),472.80,0.00,12550.74,,,,,,0.00,,0.00,3981.75,10953.38,1975.03
Effective Prefill Throughput Per User (tokens/sec/user),23.57,0.00,1518.93,,,,,,0.00,,0.00,286.18,447.57,96.28
Effective Total Throughput (tokens/sec),945.14,0.00,12550.74,,,,,,494.78,,494.78,4225.86,10968.32,1893.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,65536.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.00,6.33,68.40,0.00,0.00,0.00,0.00,0.16,1.47,3.29,4.17,6.33,1.55
HTTP Connection Overhead (ms),1.07,0.00,6.33,68.40,0.00,0.00,0.00,0.00,0.16,1.47,3.29,4.17,6.33,1.55
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),286.55,285.86,287.35,18339.45,285.91,286.15,286.18,286.44,286.57,286.68,286.84,286.92,287.17,0.25
HTTP Data Sent (KB),4.50,4.15,4.90,288.13,4.23,4.31,4.36,4.41,4.49,4.55,4.71,4.82,4.88,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
